  0.00000E+00  2.16627E-05  2.04251E+01 -3.11776E-04
  9.60000E-02  5.24664E-03  2.04879E+01  1.69355E+00
  9.70000E-02  5.43470E-03  2.04945E+01  1.70868E+00
  9.80000E-02  5.69930E-03  2.04978E+01  1.72588E+00
  9.90000E-02  5.95522E-03  2.04988E+01  1.74528E+00
  1.00000E-01  6.20994E-03  2.04991E+01  1.76729E+00
  1.01000E-01  6.49905E-03  2.05001E+01  1.78823E+00
  1.02000E-01  6.73329E-03  2.05014E+01  1.80649E+00
  1.03000E-01  7.05399E-03  2.05007E+01  1.82464E+00
  1.04000E-01  7.34736E-03  2.04963E+01  1.85284E+00
  1.05000E-01  7.63677E-03  2.04952E+01  1.87364E+00
  1.06000E-01  8.00473E-03  2.04955E+01  1.89061E+00
  1.07000E-01  8.30526E-03  2.04982E+01  1.90647E+00
  1.08000E-01  8.64157E-03  2.04973E+01  1.92249E+00
  1.09000E-01  9.00962E-03  2.04980E+01  1.94456E+00
  1.10000E-01  9.35198E-03  2.04964E+01  1.95517E+00
  1.11000E-01  9.75804E-03  2.04960E+01  1.96666E+00
  1.12000E-01  1.01124E-02  2.04939E+01  1.97073E+00
  1.13000E-01  1.05396E-02  2.04945E+01  1.97728E+00
  1.14000E-01  1.09582E-02  2.04967E+01  1.98324E+00
  1.15000E-01  1.13953E-02  2.04990E+01  1.98596E+00
  1.16000E-01  1.18353E-02  2.04981E+01  1.98812E+00
  1.17000E-01  1.22652E-02  2.04982E+01  1.99699E+00
  1.18000E-01  1.27942E-02  2.04975E+01  2.01885E+00
  1.19000E-01  1.31925E-02  2.04967E+01  2.02872E+00
  1.20000E-01  1.37907E-02  2.04945E+01  2.04092E+00
  1.21000E-01  1.42730E-02  2.04931E+01  2.07123E+00
  1.22000E-01  1.48079E-02  2.04933E+01  2.08881E+00
  1.23000E-01  1.53852E-02  2.04986E+01  2.11090E+00
  1.24000E-01  1.59156E-02  2.04968E+01  2.11613E+00
  1.25000E-01  1.65706E-02  2.05024E+01  2.11877E+00
  1.26000E-01  1.71130E-02  2.04943E+01  2.14314E+00
  1.27000E-01  1.77094E-02  2.04865E+01  2.14847E+00
  1.28000E-01  1.84858E-02  2.04912E+01  2.15680E+00
  1.29000E-01  1.90248E-02  2.04915E+01  2.18075E+00
  1.30000E-01  1.97022E-02  2.04993E+01  2.19934E+00
  1.31000E-01  2.04575E-02  2.04984E+01  2.22621E+00
  1.32000E-01  2.11896E-02  2.05127E+01  2.23755E+00
  1.33000E-01  2.19685E-02  2.05100E+01  2.27176E+00
  1.34000E-01  2.26232E-02  2.05196E+01  2.28883E+00
  1.35000E-01  2.34735E-02  2.05289E+01  2.31248E+00
  1.36000E-01  2.42872E-02  2.05266E+01  2.34973E+00
  1.37000E-01  2.50205E-02  2.05365E+01  2.36335E+00
  1.38000E-01  2.59058E-02  2.05340E+01  2.38274E+00
  1.39000E-01  2.67902E-02  2.05385E+01  2.42851E+00
  1.40000E-01  2.77597E-02  2.05421E+01  2.44242E+00
  1.41000E-01  2.85798E-02  2.05550E+01  2.46297E+00
  1.42000E-01  2.95678E-02  2.05423E+01  2.49157E+00
  1.43000E-01  3.06612E-02  2.05713E+01  2.50487E+00
  1.44000E-01  3.13297E-02  2.05772E+01  2.52038E+00
  1.45000E-01  3.26888E-02  2.05833E+01  2.51810E+00
  1.46000E-01  3.34862E-02  2.05965E+01  2.52445E+00
  1.47000E-01  3.45418E-02  2.06185E+01  2.53884E+00
  1.48000E-01  3.58711E-02  2.06166E+01  2.54858E+00
  1.49000E-01  3.70003E-02  2.06085E+01  2.56203E+00
  1.50000E-01  3.78654E-02  2.06070E+01  2.56557E+00
  1.51000E-01  3.90767E-02  2.05921E+01  2.57766E+00
  1.52000E-01  4.03637E-02  2.05923E+01  2.61849E+00
  1.53000E-01  4.13907E-02  2.05832E+01  2.63489E+00
  1.54000E-01  4.30092E-02  2.05932E+01  2.64852E+00
  1.55000E-01  4.42908E-02  2.05977E+01  2.68953E+00
  1.56000E-01  4.53210E-02  2.06153E+01  2.69796E+00
  1.57000E-01  4.68552E-02  2.06431E+01  2.70067E+00
  1.58000E-01  4.80948E-02  2.06562E+01  2.70670E+00
  1.59000E-01  4.96854E-02  2.06937E+01  2.72893E+00
  1.60000E-01  5.12339E-02  2.06827E+01  2.73838E+00
  1.61000E-01  5.28989E-02  2.06922E+01  2.76685E+00
  1.62000E-01  5.38427E-02  2.06712E+01  2.78247E+00
  1.63000E-01  5.56550E-02  2.06814E+01  2.80060E+00
  1.64000E-01  5.74497E-02  2.06720E+01  2.83203E+00
  1.65000E-01  5.86835E-02  2.06783E+01  2.84397E+00
  1.66000E-01  6.04449E-02  2.06823E+01  2.86082E+00
  1.67000E-01  6.25272E-02  2.07203E+01  2.86147E+00
  1.68000E-01  6.39595E-02  2.07446E+01  2.87677E+00
  1.69000E-01  6.55825E-02  2.07456E+01  2.91272E+00
  1.70000E-01  6.76570E-02  2.07499E+01  2.93039E+00
  1.71000E-01  6.97850E-02  2.07694E+01  2.94697E+00
  1.72000E-01  7.13501E-02  2.07576E+01  2.98474E+00
  1.73000E-01  7.32865E-02  2.07887E+01  2.99812E+00
  1.74000E-01  7.54427E-02  2.07905E+01  3.00590E+00
  1.75000E-01  7.75298E-02  2.08184E+01  3.01516E+00
  1.76000E-01  7.94951E-02  2.08373E+01  3.03020E+00
  1.77000E-01  8.17887E-02  2.08464E+01  3.06089E+00
  1.78000E-01  8.36629E-02  2.08397E+01  3.07703E+00
  1.79000E-01  8.58135E-02  2.08404E+01  3.09592E+00
  1.80000E-01  8.82216E-02  2.08365E+01  3.14085E+00
  1.81000E-01  9.03416E-02  2.08409E+01  3.15866E+00
  1.82000E-01  9.22789E-02  2.08760E+01  3.15866E+00
  1.83000E-01  9.50909E-02  2.09122E+01  3.17278E+00
  1.84000E-01  9.79892E-02  2.09566E+01  3.18058E+00
  1.85000E-01  1.00496E-01  2.09619E+01  3.19679E+00
  1.86000E-01  1.02864E-01  2.09958E+01  3.21123E+00
  1.87000E-01  1.05661E-01  2.09972E+01  3.24653E+00
  1.88000E-01  1.08102E-01  2.10132E+01  3.26201E+00
  1.89000E-01  1.11025E-01  2.10254E+01  3.28208E+00
  1.90000E-01  1.13369E-01  2.10135E+01  3.32336E+00
  1.91000E-01  1.16207E-01  2.10340E+01  3.33833E+00
  1.92000E-01  1.18828E-01  2.10541E+01  3.34111E+00
  1.93000E-01  1.22595E-01  2.11060E+01  3.34622E+00
  1.94000E-01  1.25468E-01  2.11626E+01  3.36054E+00
  1.95000E-01  1.28206E-01  2.11539E+01  3.37001E+00
  1.96000E-01  1.31716E-01  2.11619E+01  3.39548E+00
  1.97000E-01  1.34230E-01  2.11869E+01  3.42087E+00
  1.98000E-01  1.38401E-01  2.12472E+01  3.42045E+00
  1.99000E-01  1.41508E-01  2.13100E+01  3.43741E+00
  2.00000E-01  1.45106E-01  2.12954E+01  3.46704E+00
  2.01000E-01  1.48546E-01  2.12851E+01  3.51014E+00
  2.02000E-01  1.51311E-01  2.12829E+01  3.54206E+00
  2.03000E-01  1.55363E-01  2.13353E+01  3.54889E+00
  2.04000E-01  1.58842E-01  2.14130E+01  3.55322E+00
  2.05000E-01  1.63814E-01  2.14496E+01  3.57276E+00
  2.06000E-01  1.66343E-01  2.14752E+01  3.59229E+00
  2.07000E-01  1.70364E-01  2.14837E+01  3.61887E+00
  2.08000E-01  1.74446E-01  2.15102E+01  3.64275E+00
  2.09000E-01  1.79053E-01  2.15931E+01  3.64158E+00
  2.10000E-01  1.83904E-01  2.16559E+01  3.65833E+00
  2.11000E-01  1.86868E-01  2.16564E+01  3.69063E+00
  2.12000E-01  1.91926E-01  2.16769E+01  3.71883E+00
  2.13000E-01  1.96020E-01  2.17734E+01  3.71903E+00
  2.14000E-01  2.01708E-01  2.18269E+01  3.74529E+00
  2.15000E-01  2.05379E-01  2.18154E+01  3.75364E+00
  2.16000E-01  2.09873E-01  2.18448E+01  3.76191E+00
  2.17000E-01  2.15181E-01  2.18779E+01  3.79380E+00
  2.18000E-01  2.19917E-01  2.19452E+01  3.80875E+00
  2.19000E-01  2.25324E-01  2.20338E+01  3.85269E+00
  2.20000E-01  2.28998E-01  2.20368E+01  3.86771E+00
  2.21000E-01  2.36142E-01  2.20822E+01  3.87962E+00
  2.22000E-01  2.40930E-01  2.21029E+01  3.90178E+00
  2.23000E-01  2.45835E-01  2.21924E+01  3.90155E+00
  2.24000E-01  2.52211E-01  2.22334E+01  3.94253E+00
  2.25000E-01  2.56181E-01  2.22356E+01  3.99085E+00
  2.26000E-01  2.62610E-01  2.23010E+01  4.00836E+00
  2.27000E-01  2.68476E-01  2.24034E+01  4.00732E+00
