Generic Comment 
0.0        Start Time
62324.1        Stop Time 
0.0829683        Init Del t
0.0 0.00102383545252 13.1293764631
0.0829683 0.00102383545252 13.1293764631
0.345338 0.00102383545252 13.1293764631
0.840398 0.00102383809181 13.1293764631
1.58462 0.00102383809181 13.1293764631
2.55375 0.00102383751232 13.1296715808
3.74854 0.0010238387677 13.1294354866
5.17001 0.00102383751232 13.1296715808
6.81946 0.00102384147116 13.1296715808
8.70215 0.00102384221119 13.1299666986
10.8198 0.00102384159953 13.1301437693
13.1797 0.00102384610585 13.1297306044
15.7857 0.0010238514483 13.1299666986
18.6451 0.00102385820594 13.1305569342
21.7644 0.00102386747449 13.1306749813
25.153 0.00102388601109 13.1309110755
28.82 0.0010239039661 13.1314422875
32.7763 0.00102393965335 13.1316783817
37.0338 0.00102398868705 13.1325047114
41.6056 0.0010240444016 13.1336851825
46.5062 0.00102410872477 13.1350427243
51.752 0.00102417962935 13.136400266
57.3601 0.00102425444733 13.1376397607
63.3499 0.00102434650431 13.1393514437
69.7432 0.00102446264061 13.1427157863
76.5636 0.00102460291078 13.1451947756
83.8374 0.00102478287471 13.1487361888
91.594 0.00102501556465 13.1529858847
99.8657 0.00102529772323 13.1587111695
108.688 0.00102563718237 13.1666203258
118.101 0.00881306806018 37.3581322902
128.149 0.0096011517015 41.716313484
138.878 0.008834611789 36.8291041741
150.345 0.00812414931761 32.4818423378
162.61 0.00747738668032 28.673642622
175.741 0.00687340922649 25.2672162394
189.816 0.0063115750588 22.234527002
204.921 0.00579200716135 19.5496045457
221.155 0.00530348908151 17.1279271412
238.629 0.00484777040017 14.9689045527
257.473 0.00442301571908 13.0477468876
277.834 0.00402422489309 11.323137658
299.879 0.00365028444502 9.78427555332
323.806 0.0033007968454 8.41463397851
349.845 0.00297407506709 7.19697805572
378.264 0.00266796784493 6.11613873152
409.385 0.00238246811276 5.16216463469
443.587 0.00211731682944 4.32535229291
481.328 0.00187108610255 3.59504795465
523.167 0.00164314918479 2.95914588895
569.786 0.00143360865418 2.41144272027
622.034 0.00124123157806 1.94390534288
680.968 0.00106626575573 1.54817011915
747.952 0.000907597687473 1.21618623629
824.738 0.000764786357171 0.941101059667
913.646 0.000636948088469 0.715619277978
1017.8 0.000523475029677 0.533567617692
1141.52 0.000423605346367 0.388674235942
1290.93 0.000336437827157 0.275336026729
1469.07 0.000263512168865 0.191030323348
1671.77 0.000205742360753 0.131933579958
1902.32 0.000160460540685 0.0909488044046
2164.57 0.00012479500265 0.06243570585
2462.74 9.70713841301e-05 0.0428647347777
2801.73 7.5425192394e-05 0.0293862339916
3187.38 5.85155599606e-05 0.0200961036339
3625.89 4.53758226958e-05 0.0137353712939
4124.54 3.51584105509e-05 0.0093768359588
4691.55 2.72182771703e-05 0.00639331334197
5336.38 2.10729699067e-05 0.004360742816
6069.66 1.63112775843e-05 0.00297347680791
6903.7 1.26258967741e-05 0.00202691016712
7851.83 9.77308745553e-06 0.00138163516102
8929.9 7.56773015937e-06 0.000942015924757
10155.4 5.85851345682e-06 0.000642394656659
11547.8 4.53975453311e-06 0.000438099969979
13130.4 3.51800052754e-06 0.000298666857227
14929.8 2.71873364431e-06 0.00020345124009
16975.5 2.10802252105e-06 0.000138552481324
19300.2 1.8369127776e-06 9.43220005262e-05
21942.5 2.69929847181e-06 6.41875249382e-05
24945.5 3.96628590225e-06 4.36835095213e-05
28357.3 5.8262792387e-06 2.97378963274e-05
31869.9 8.270835421e-06 2.09484627799e-05
34802.2 1.07709076787e-05 1.60860433627e-05
37364.3 1.33275525873e-05 1.30002329265e-05
39667.9 1.59483002652e-05 1.08639344064e-05
41776.3 1.8626961363e-05 9.30163995077e-06
43740.8 2.13809887985e-05 8.10352082441e-06
45595.4 2.4216171517e-05 7.15477621448e-06
47362.7 2.71427391387e-05 6.38333836131e-06
49062.4 3.01724865439e-05 5.74236026995e-06
50696.1 3.328789911e-05 5.20493310205e-06
52276.2 3.64986676669e-05 4.74705788048e-06
53812.8 3.98134296723e-05 4.35183025932e-06
55315.6 4.32442718808e-05 4.00657197912e-06
56784.7 4.67829990791e-05 3.70350963782e-06
58220.0 5.04215178554e-05 3.43625688683e-06
59621.8 5.41526865505e-05 3.19949570394e-06
60989.8 5.79667635942e-05 2.98897639324e-06
62324.1 6.18550247511e-05 2.80108671321e-06
