cu59 59.000 29 30 1.5 -56.358
cu60 60.000 29 31 2.0 -58.345
cu61 61.000 29 32 1.5 -61.984
cu62 62.000 29 33 1.0 -62.787
cu63 63.000 29 34 1.5 -65.579
zn59 59.000 30 29 1.5 -47.215
zn60 60.000 30 30 0.0 -54.174
zn61 61.000 30 31 1.5 -56.343
zn62 62.000 30 32 0.0 -61.167
zn63 63.000 30 33 1.5 -62.213
zn64 64.000 30 34 0.0 -66.004
zn65 65.000 30 35 2.5 -65.912
zn66 66.000 30 36 0.0 -68.899
