66,162.5000,1659.0000,1.14,0.08,1.1,0.04,1,0.96,"Dy",,,
67,164.9300,1659.0000,0.51,0.1,0.46,0.02,1,0.9,"Ho",,,
68,167.2590,1659.0000,0.93,0.06,0.92,0.03,1,0.99,"Er",,,
69,168.9300,1659.0000,0,0.15,0.08,0.06,1,1.15,"Tm",,,
70,173.0540,1517.0000,1.08,0.15,0.91,0.03,1,0.84,"Yb",,,
71,174.9690,1659.0000,0.06,0.1,0.06,0.06,1,1,"Lu",,,
72,178.4900,1703.0000,0.88,0.08,0.74,0.04,1,0.84,"Hf",,,
73,180.9500,1573.0000,-0.17,0.03,-0.17,0.03,1,1,"Ta",,,
74,183.8400,1789.0000,1.11,0.15,0.62,0.03,1,0.56,"W",,,
75,186.2070,1821.0000,0.23,0.04,0.23,0.04,1,1,"Re",,,
76,190.2300,1812.0000,1.45,0.1,1.34,0.03,1,0.92,"Os",,,
77,192.2170,1603.0000,1.38,0.05,1.32,0.03,1,0.96,"Ir",,,
78,195.0840,1408.0000,1.64,0.03,1.64,0.03,1,1,"Pt",,,
79,196.9660,1060.0000,1.01,0.15,0.8,0.06,1,0.79,"Au",,,
80,200.5900,252.0000,1.13,0.18,1.13,0.18,1,1,"Hg",,,
81,204.3800,532.0000,0.9,0.2,0.78,0.04,1,0.87,"Tl",,,
82,207.2000,727.0000,2,0.06,2.02,0.04,1,1.01,"Pb",,,
83,208.9800,746.0000,0.65,0.03,0.65,0.03,1,1,"Bi",,,
84,210.0000,11.0000,11,11,11,11,11,11,"Po",,,
85,210.0000,11.0000,11,11,11,11,11,11,"At",,,
86,222.0000,11.0000,11,11,11,11,11,11,"Rn",,,
87,223.0000,11.0000,11,11,11,11,11,11,"Fr",,,
88,226.0000,11.0000,11,11,11,11,11,11,"Ra",,,
89,227.0000,11.0000,11,11,11,11,11,11,"Ac",,,
90,232.0300,1659.0000,0.06,0.04,0.06,0.04,1,1,"Th",,,
91,231.0300,11.0000,11,11,11,11,11,11,"Pa",,,
92,238.0200,1610.0000,-0.47,0.1,-0.52,0.04,1,1.11,"U",,,
